<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2012-03-29,0.28,0.28,0.28,0.28
2012-03-30,0.26,0.29,0.26,0.29
2012-04-02,0.29,0.29,0.28,0.28
2012-04-03,0.28,0.28,0.28,0.28
2012-04-04,0.28,0.29,0.28,0.29
2012-04-05,0.29,0.29,0.27,0.28
2012-04-10,0.28,0.28,0.25,0.28
2012-04-11,0.28,0.28,0.28,0.28
2012-04-12,0.28,0.28,0.28,0.28
2012-04-13,0.26,0.28,0.26,0.27
2012-04-16,0.26,0.28,0.26,0.28
2012-04-17,0.27,0.27,0.25,0.27
2012-04-18,0.27,0.28,0.25,0.27
2012-04-19,0.27,0.29,0.27,0.29
2012-04-20,0.29,0.29,0.27,0.27
2012-04-23,0.27,0.27,0.25,0.27
2012-04-24,0.24,0.26,0.24,0.26
2012-04-25,0.25,0.26,0.25,0.26
2012-04-26,0.26,0.26,0.26,0.26
2012-04-27,0.25,0.25,0.24,0.25
2012-04-30,0.26,0.27,0.25,0.27
2012-05-02,0.26,0.26,0.26,0.26
2012-05-04,0.25,0.26,0.25,0.26
2012-05-07,0.26,0.27,0.26,0.26
2012-05-08,0.26,0.26,0.25,0.25
2012-05-09,0.25,0.27,0.25,0.27
2012-05-10,0.26,0.27,0.26,0.27
2012-05-11,0.27,0.27,0.26,0.26
2012-05-14,0.26,0.26,0.26,0.26
2012-05-15,0.25,0.25,0.25,0.25
2012-05-16,0.25,0.26,0.25,0.26
2012-05-17,0.26,0.26,0.25,0.26
2012-05-18,0.25,0.26,0.23,0.25
2012-05-21,0.24,0.25,0.24,0.24
2012-05-22,0.22,0.23,0.21,0.23
2012-05-23,0.23,0.23,0.21,0.21
2012-05-24,0.21,0.22,0.19,0.21
2012-05-28,0.2,0.21,0.2,0.2
2012-05-29,0.21,0.22,0.2,0.22
2012-05-30,0.2,0.2,0.2,0.2
2012-05-31,0.2,0.21,0.2,0.2
2012-06-01,0.21,0.21,0.18,0.2
2012-06-04,0.18,0.19,0.18,0.19
2012-06-05,0.18,0.18,0.18,0.18
2012-06-06,0.18,0.19,0.18,0.18
2012-06-08,0.19,0.2,0.19,0.2
2012-06-11,0.2,0.2,0.19,0.2
2012-06-12,0.2,0.2,0.2,0.2
2012-06-13,0.2,0.21,0.2,0.21
2012-06-14,0.2,0.2,0.19,0.19
2012-06-15,0.2,0.2,0.2,0.2
2012-06-18,0.19,0.19,0.18,0.18
2012-06-19,0.19,0.19,0.19,0.19
2012-06-20,0.2,0.2,0.18,0.18
2012-06-21,0.19,0.19,0.18,0.18
2012-06-22,0.2,0.2,0.2,0.2
2012-06-25,0.2,0.2,0.19,0.19
2012-06-26,0.19,0.2,0.19,0.2
2012-06-27,0.19,0.2,0.19,0.2
2012-06-28,0.19,0.2,0.19,0.2
2012-06-29,0.2,0.21,0.2,0.21
2012-07-02,0.19,0.2,0.19,0.2
2012-07-03,0.2,0.2,0.19,0.2
2012-07-04,0.19,0.2,0.19,0.19
2012-07-05,0.2,0.2,0.2,0.2
2012-07-06,0.19,0.2,0.19,0.2
2012-07-09,0.2,0.2,0.19,0.19
2012-07-10,0.19,0.2,0.19,0.2
2012-07-11,0.19,0.21,0.19,0.21
2012-07-12,0.19,0.21,0.19,0.2
2012-07-13,0.19,0.19,0.19,0.19
2012-07-16,0.19,0.2,0.18,0.2
2012-07-17,0.2,0.2,0.19,0.2
2012-07-18,0.19,0.19,0.19,0.19
2012-07-19,0.19,0.21,0.18,0.21
2012-07-20,0.19,0.19,0.19,0.19
2012-07-23,0.19,0.2,0.19,0.19
2012-07-24,0.19,0.2,0.19,0.19
2012-07-25,0.19,0.19,0.18,0.18
2012-07-26,0.18,0.19,0.17,0.19
2012-07-27,0.19,0.19,0.19,0.19
2012-07-30,0.19,0.19,0.19,0.19
2012-07-31,0.19,0.19,0.19,0.19
2012-08-01,0.17,0.19,0.17,0.19
2012-08-02,0.19,0.19,0.18,0.19
2012-08-03,0.19,0.19,0.18,0.19
2012-08-07,0.19,0.19,0.19,0.19
2012-08-08,0.18,0.18,0.18,0.18
2012-08-09,0.19,0.23,0.19,0.23
2012-08-10,0.23,0.29,0.21,0.29
2012-08-13,0.28,0.28,0.26,0.27
2012-08-14,0.25,0.28,0.25,0.26
2012-08-16,0.27,0.28,0.24,0.24
2012-08-17,0.23,0.25,0.23,0.25
2012-08-20,0.25,0.25,0.23,0.23
2012-08-21,0.24,0.24,0.21,0.21
2012-08-22,0.2,0.22,0.19,0.21
2012-08-23,0.22,0.22,0.2,0.21
2012-08-24,0.21,0.22,0.21,0.22
2012-08-27,0.22,0.22,0.22,0.22
2012-08-28,0.21,0.22,0.21,0.22
2012-08-29,0.21,0.21,0.2,0.21
2012-08-30,0.2,0.2,0.2,0.2
2012-08-31,0.21,0.21,0.21,0.21
2012-09-03,0.21,0.21,0.2,0.21
2012-09-04,0.2,0.2,0.2,0.2
2012-09-05,0.19,0.21,0.19,0.21
2012-09-06,0.2,0.2,0.2,0.2
2012-09-07,0.21,0.21,0.19,0.2
2012-09-10,0.19,0.26,0.19,0.23
2012-09-11,0.24,0.24,0.23,0.24
2012-09-12,0.22,0.24,0.22,0.24
2012-09-14,0.24,0.24,0.22,0.24
2012-09-17,0.22,0.23,0.22,0.22
2012-09-18,0.21,0.21,0.21,0.21
2012-09-19,0.21,0.21,0.2,0.2
2012-09-20,0.2,0.21,0.19,0.21
2012-09-21,0.2,0.2,0.2,0.2
2012-09-24,0.2,0.21,0.2,0.2
2012-09-25,0.2,0.21,0.2,0.2
2012-09-26,0.21,0.21,0.21,0.21
2012-09-27,0.2,0.2,0.2,0.2
2012-09-28,0.2,0.2,0.2,0.2
2012-10-01,0.21,0.21,0.2,0.21
2012-10-02,0.2,0.21,0.2,0.2
2012-10-03,0.2,0.22,0.2,0.22
2012-10-04,0.22,0.22,0.21,0.21
2012-10-05,0.22,0.22,0.21,0.21
2012-10-08,0.2,0.22,0.2,0.22
2012-10-09,0.22,0.22,0.2,0.21
2012-10-10,0.21,0.24,0.2,0.24
2012-10-11,0.23,0.26,0.22,0.23
2012-10-12,0.23,0.23,0.21,0.22
2012-10-15,0.21,0.22,0.21,0.21
2012-10-16,0.22,0.27,0.22,0.25
2012-10-17,0.25,0.25,0.23,0.23
2012-10-18,0.23,0.24,0.22,0.24
2012-10-19,0.23,0.24,0.23,0.23
2012-10-22,0.23,0.24,0.22,0.23
2012-10-23,0.22,0.23,0.22,0.23
2012-10-24,0.22,0.24,0.22,0.23
2012-10-25,0.22,0.22,0.22,0.22
2012-10-26,0.22,0.23,0.22,0.23
2012-10-29,0.23,0.23,0.22,0.23
2012-10-30,0.22,0.24,0.22,0.24
2012-10-31,0.23,0.24,0.23,0.24
2012-11-02,0.24,0.25,0.23,0.24
2012-11-05,0.23,0.24,0.23,0.24
2012-11-06,0.23,0.24,0.23,0.23
2012-11-07,0.23,0.25,0.23,0.23
2012-11-08,0.22,0.23,0.22,0.23
2012-11-09,0.22,0.23,0.22,0.23
2012-11-12,0.23,0.23,0.22,0.22
2012-11-13,0.22,0.24,0.22,0.24
2012-11-14,0.23,0.23,0.22,0.23
2012-11-15,0.22,0.23,0.22,0.23
2012-11-16,0.22,0.23,0.21,0.23
2012-11-19,0.22,0.24,0.22,0.24
2012-11-20,0.23,0.23,0.22,0.23
2012-11-21,0.22,0.22,0.22,0.22
2012-11-22,0.22,0.22,0.21,0.21
2012-11-23,0.21,0.21,0.21,0.21
2012-11-26,0.21,0.22,0.21,0.22
2012-11-27,0.22,0.22,0.21,0.22
2012-11-28,0.22,0.22,0.21,0.21
2012-11-29,0.21,0.22,0.21,0.22
2012-11-30,0.22,0.22,0.21,0.22
2012-12-03,0.22,0.22,0.21,0.22
2012-12-04,0.21,0.22,0.21,0.22
2012-12-05,0.21,0.22,0.2,0.22
2012-12-06,0.2,0.21,0.2,0.21
2012-12-10,0.2,0.2,0.2,0.2
2012-12-11,0.2,0.2,0.2,0.2
2012-12-12,0.2,0.2,0.2,0.2
2012-12-13,0.2,0.2,0.19,0.2
2012-12-14,0.2,0.2,0.2,0.2
2012-12-17,0.19,0.2,0.19,0.19
2012-12-18,0.2,0.2,0.19,0.19
2012-12-19,0.19,0.2,0.19,0.19
2012-12-20,0.19,0.2,0.19,0.19
2012-12-21,0.19,0.19,0.19,0.19
2012-12-27,0.19,0.2,0.19,0.2
2012-12-28,0.19,0.2,0.19,0.2
2013-01-02,0.2,0.2,0.2,0.2
2013-01-03,0.2,0.21,0.2,0.21
2013-01-04,0.21,0.22,0.21,0.22
2013-01-08,0.2,0.21,0.2,0.2
2013-01-09,0.21,0.21,0.21,0.21
2013-01-10,0.2,0.2,0.2,0.2
2013-01-11,0.2,0.2,0.2,0.2
2013-01-14,0.2,0.21,0.2,0.21
2013-01-15,0.22,0.22,0.21,0.22
2013-01-17,0.22,0.22,0.22,0.22
2013-01-18,0.2,0.22,0.2,0.22
2013-01-21,0.22,0.22,0.22,0.22
2013-01-22,0.21,0.21,0.21,0.21
2013-01-23,0.2,0.21,0.2,0.21
2013-01-25,0.2,0.22,0.2,0.22
2013-01-28,0.21,0.22,0.21,0.22
2013-01-29,0.21,0.22,0.21,0.22
2013-01-30,0.21,0.21,0.21,0.21
2013-01-31,0.21,0.22,0.2,0.22
2013-02-01,0.22,0.24,0.22,0.22
2013-02-04,0.24,0.24,0.21,0.21
2013-02-05,0.21,0.21,0.21,0.21
2013-02-06,0.21,0.21,0.21,0.21
2013-02-07,0.2,0.2,0.2,0.2
2013-02-08,0.2,0.21,0.19,0.2
2013-02-13,0.2,0.2,0.19,0.2
2013-02-15,0.19,0.21,0.19,0.21
2013-02-18,0.2,0.21,0.2,0.21
2013-02-19,0.19,0.21,0.19,0.21
2013-02-20,0.21,0.21,0.21,0.21
2013-02-21,0.21,0.21,0.21,0.21
2013-02-22,0.19,0.22,0.19,0.21
2013-02-25,0.19,0.2,0.19,0.19
2013-02-26,0.19,0.2,0.19,0.2
2013-02-27,0.2,0.2,0.2,0.2
2013-02-28,0.2,0.21,0.2,0.21
2013-03-01,0.2,0.21,0.2,0.2
2013-03-04,0.2,0.22,0.2,0.21
2013-03-05,0.21,0.21,0.2,0.2
2013-03-06,0.2,0.2,0.2,0.2
2013-03-07,0.2,0.2,0.2,0.2
2013-03-08,0.21,0.21,0.21,0.21
2013-03-11,0.2,0.21,0.2,0.21
2013-03-12,0.2,0.25,0.2,0.24
2013-03-13,0.23,0.23,0.22,0.22
2013-03-14,0.22,0.23,0.22,0.22
2013-03-15,0.23,0.24,0.22,0.23
2013-03-18,0.22,0.23,0.22,0.23
2013-03-19,0.21,0.22,0.21,0.21
2013-03-20,0.21,0.22,0.21,0.21
2013-03-21,0.21,0.21,0.21,0.21
2013-03-22,0.2,0.22,0.2,0.2
2013-03-25,0.21,0.22,0.2,0.22
2013-03-26,0.2,0.2,0.2,0.2
2013-03-27,0.2,0.21,0.2,0.21
2013-03-28,0.21,0.21,0.21,0.21
2013-04-02,0.2,0.21,0.19,0.2
2013-04-03,0.2,0.2,0.19,0.2
2013-04-04,0.2,0.21,0.19,0.19
2013-04-08,0.2,0.2,0.19,0.19
2013-04-09,0.2,0.2,0.2,0.2
2013-04-10,0.19,0.2,0.19,0.2
2013-04-11,0.19,0.2,0.18,0.2
2013-04-12,0.19,0.19,0.19,0.19
2013-04-15,0.18,0.18,0.18,0.18
2013-04-17,0.19,0.19,0.18,0.18
2013-04-18,0.18,0.2,0.18,0.2
2013-04-22,0.19,0.19,0.18,0.18
2013-04-23,0.18,0.19,0.18,0.19
2013-04-24,0.19,0.19,0.18,0.19
2013-04-26,0.19,0.19,0.19,0.19
2013-04-30,0.19,0.19,0.18,0.19
2013-05-02,0.19,0.19,0.19,0.19
2013-05-06,0.18,0.18,0.18,0.18
2013-05-07,0.18,0.18,0.17,0.17
2013-05-08,0.17,0.19,0.17,0.19
2013-05-13,0.17,0.19,0.17,0.19
2013-05-14,0.18,0.18,0.17,0.18
2013-05-15,0.18,0.18,0.18,0.18
2013-05-16,0.17,0.18,0.17,0.18
2013-05-20,0.17,0.18,0.17,0.18
2013-05-23,0.17,0.18,0.17,0.18
2013-05-27,0.18,0.18,0.17,0.17
2013-05-28,0.17,0.18,0.17,0.18
2013-05-29,0.18,0.19,0.18,0.19
2013-05-31,0.19,0.19,0.17,0.19
2013-06-03,0.17,0.18,0.17,0.18
2013-06-04,0.17,0.18,0.17,0.18
2013-06-05,0.19,0.19,0.18,0.19
2013-06-06,0.19,0.2,0.19,0.19
2013-06-07,0.19,0.19,0.19,0.19
2013-06-10,0.19,0.19,0.18,0.19
2013-06-12,0.19,0.19,0.18,0.18
2013-06-13,0.18,0.18,0.18,0.18
2013-06-14,0.17,0.19,0.17,0.19
2013-06-17,0.18,0.19,0.18,0.19
2013-06-18,0.19,0.19,0.19,0.19
2013-06-19,0.19,0.2,0.17,0.2
2013-06-20,0.19,0.19,0.18,0.18
2013-06-21,0.18,0.19,0.17,0.19
2013-06-24,0.18,0.18,0.17,0.18
2013-06-25,0.17,0.19,0.17,0.17
2013-06-26,0.17,0.18,0.17,0.18
2013-06-28,0.18,0.18,0.17,0.18
2013-07-01,0.17,0.18,0.17,0.18
2013-07-02,0.18,0.18,0.18,0.18
2013-07-03,0.17,0.17,0.17,0.17
2013-07-05,0.17,0.17,0.17,0.17
2013-07-08,0.17,0.17,0.17,0.17
2013-07-09,0.18,0.18,0.17,0.17
2013-07-11,0.17,0.17,0.17,0.17
2013-07-15,0.17,0.18,0.17,0.18
2013-07-16,0.18,0.19,0.18,0.18
2013-07-18,0.19,0.19,0.19,0.19
2013-07-22,0.17,0.19,0.17,0.19
2013-07-23,0.17,0.19,0.17,0.19
2013-07-24,0.17,0.19,0.17,0.19
2013-07-25,0.17,0.19,0.17,0.17
2013-07-26,0.17,0.17,0.17,0.17
2013-07-29,0.19,0.19,0.19,0.19
2013-07-30,0.19,0.19,0.16,0.16
2013-07-31,0.17,0.17,0.15,0.16
2013-08-01,0.15,0.15,0.14,0.14
2013-08-02,0.15,0.16,0.15,0.15
2013-08-05,0.16,0.16,0.16,0.16
2013-08-06,0.15,0.15,0.14,0.14
2013-08-07,0.15,0.15,0.14,0.15
2013-08-08,0.15,0.15,0.14,0.15
2013-08-09,0.15,0.16,0.15,0.16
2013-08-12,0.16,0.16,0.16,0.16
2013-08-13,0.16,0.16,0.16,0.16
2013-08-16,0.15,0.16,0.15,0.16
2013-08-19,0.15,0.16,0.15,0.16
2013-08-20,0.15,0.15,0.15,0.15
2013-08-21,0.15,0.15,0.14,0.14
2013-08-22,0.14,0.15,0.14,0.15
2013-08-26,0.14,0.14,0.14,0.14
2013-08-28,0.14,0.14,0.14,0.14
2013-08-29,0.14,0.14,0.14,0.14
2013-08-30,0.14,0.14,0.14,0.14
2013-09-02,0.13,0.13,0.13,0.13
2013-09-03,0.13,0.14,0.13,0.14
2013-09-04,0.14,0.14,0.14,0.14
2013-09-05,0.12,0.13,0.12,0.13
2013-09-06,0.13,0.13,0.11,0.12
2013-09-09,0.11,0.11,0.11,0.11
2013-09-10,0.12,0.12,0.11,0.11
2013-09-11,0.11,0.11,0.11,0.11
2013-09-12,0.11,0.11,0.11,0.11
2013-09-13,0.12,0.12,0.12,0.12
2013-09-16,0.12,0.12,0.12,0.12
2013-09-17,0.12,0.13,0.12,0.12
2013-09-18,0.12,0.13,0.12,0.12
2013-09-19,0.12,0.12,0.12,0.12
2013-09-20,0.12,0.12,0.12,0.12
2013-09-23,0.12,0.12,0.12,0.12
2013-09-24,0.12,0.13,0.12,0.13
2013-09-25,0.13,0.13,0.13,0.13
2013-09-26,0.13,0.13,0.13,0.13
2013-09-27,0.12,0.14,0.12,0.14
2013-09-30,0.14,0.14,0.13,0.14
2013-10-01,0.13,0.13,0.13,0.13
2013-10-02,0.13,0.13,0.12,0.12
2013-10-03,0.12,0.12,0.12,0.12
2013-10-04,0.13,0.13,0.12,0.12
2013-10-07,0.13,0.13,0.12,0.12
2013-10-08,0.13,0.13,0.13,0.13
2013-10-09,0.12,0.12,0.12,0.12
2013-10-10,0.13,0.13,0.13,0.13
2013-10-11,0.12,0.12,0.12,0.12
2013-10-14,0.12,0.13,0.12,0.13
2013-10-15,0.13,0.13,0.12,0.12
2013-10-16,0.13,0.13,0.12,0.12
2013-10-17,0.12,0.13,0.12,0.13
2013-10-18,0.12,0.12,0.12,0.12
2013-10-21,0.12,0.12,0.12,0.12
2013-10-22,0.12,0.12,0.12,0.12
2013-10-23,0.13,0.13,0.13,0.13
2013-10-24,0.14,0.14,0.12,0.12
2013-10-25,0.13,0.13,0.13,0.13
2013-10-28,0.13,0.13,0.13,0.13
2013-10-29,0.13,0.13,0.13,0.13
2013-10-30,0.13,0.13,0.13,0.13
2013-10-31,0.13,0.14,0.13,0.14
2013-11-04,0.14,0.14,0.13,0.14
2013-11-05,0.13,0.14,0.13,0.13
2013-11-06,0.13,0.13,0.13,0.13
2013-11-07,0.12,0.13,0.12,0.13
2013-11-08,0.12,0.12,0.12,0.12
2013-11-12,0.12,0.13,0.12,0.13
2013-11-13,0.13,0.13,0.12,0.13
2013-11-14,0.14,0.14,0.12,0.12
2013-11-15,0.14,0.15,0.13,0.14
2013-11-18,0.14,0.14,0.14,0.14
2013-11-19,0.13,0.14,0.12,0.14
2013-11-20,0.13,0.13,0.13,0.13
2013-11-21,0.13,0.13,0.13,0.13
2013-11-22,0.13,0.13,0.13,0.13
2013-11-25,0.13,0.13,0.13,0.13
2013-11-26,0.13,0.13,0.12,0.12
2013-11-28,0.12,0.12,0.12,0.12
2013-11-29,0.12,0.13,0.12,0.13
2013-12-02,0.13,0.13,0.13,0.13
2013-12-03,0.13,0.13,0.12,0.13
2013-12-04,0.12,0.12,0.12,0.12
2013-12-09,0.12,0.13,0.12,0.13
2013-12-10,0.13,0.13,0.12,0.13
2013-12-11,0.11,0.13,0.11,0.13
2013-12-12,0.12,0.12,0.12,0.12
2013-12-13,0.11,0.13,0.11,0.13
2013-12-16,0.11,0.13,0.11,0.12
2013-12-17,0.12,0.12,0.11,0.11
2013-12-18,0.11,0.12,0.11,0.11
2013-12-19,0.13,0.13,0.11,0.12
2013-12-20,0.11,0.11,0.11,0.11
2013-12-23,0.11,0.12,0.11,0.11
2013-12-27,0.12,0.12,0.12,0.12
2013-12-30,0.12,0.13,0.11,0.11
2014-01-02,0.13,0.13,0.12,0.12
2014-01-03,0.12,0.13,0.12,0.13
2014-01-07,0.13,0.13,0.12,0.13
2014-01-08,0.12,0.12,0.12,0.12
2014-01-09,0.13,0.15,0.12,0.13
2014-01-10,0.13,0.13,0.13,0.13
2014-01-13,0.13,0.13,0.13,0.13
2014-01-14,0.13,0.13,0.13,0.13
2014-01-15,0.13,0.13,0.13,0.13
2014-01-16,0.13,0.14,0.13,0.14
2014-01-17,0.14,0.14,0.14,0.14
2014-01-20,0.13,0.14,0.13,0.14
2014-01-22,0.14,0.14,0.14,0.14
2014-01-23,0.14,0.14,0.14,0.14
2014-01-24,0.13,0.13,0.13,0.13
2014-01-27,0.13,0.14,0.13,0.14
2014-01-28,0.14,0.14,0.13,0.13
2014-01-29,0.13,0.13,0.13,0.13
2014-01-30,0.13,0.14,0.13,0.14
2014-01-31,0.13,0.15,0.13,0.14
2014-02-03,0.13,0.16,0.13,0.15
2014-02-04,0.14,0.15,0.14,0.15
2014-02-05,0.14,0.16,0.14,0.16
2014-02-06,0.15,0.16,0.15,0.16
2014-02-07,0.16,0.16,0.15,0.16
2014-02-10,0.16,0.16,0.15,0.16
2014-02-11,0.17,0.17,0.15,0.16
2014-02-12,0.16,0.16,0.15,0.16
2014-02-13,0.16,0.16,0.16,0.16
2014-02-14,0.15,0.16,0.15,0.16
2014-02-17,0.15,0.16,0.15,0.16
2014-02-18,0.16,0.16,0.14,0.15
2014-02-19,0.15,0.15,0.14,0.14
2014-02-20,0.14,0.14,0.14,0.14
2014-02-21,0.14,0.14,0.14,0.14
2014-02-24,0.13,0.14,0.13,0.14
2014-02-25,0.14,0.14,0.14,0.14
2014-02-26,0.14,0.14,0.14,0.14
2014-02-27,0.14,0.14,0.14,0.14
2014-02-28,0.14,0.14,0.14,0.14
2014-03-03,0.13,0.13,0.13,0.13
2014-03-04,0.13,0.14,0.13,0.14
2014-03-05,0.14,0.14,0.14,0.14
2014-03-06,0.13,0.14,0.13,0.14
2014-03-07,0.14,0.14,0.14,0.14
2014-03-10,0.13,0.15,0.13,0.15
2014-03-11,0.15,0.15,0.14,0.14
2014-03-12,0.13,0.13,0.13,0.13
2014-03-13,0.14,0.14,0.13,0.14
2014-03-14,0.14,0.14,0.13,0.13
2014-03-17,0.14,0.14,0.12,0.13
2014-03-18,0.13,0.13,0.13,0.13
2014-03-19,0.13,0.14,0.13,0.13
2014-03-24,0.14,0.14,0.14,0.14
2014-03-25,0.14,0.14,0.12,0.12
2014-03-26,0.14,0.14,0.12,0.13
2014-03-27,0.13,0.13,0.12,0.13
2014-03-28,0.12,0.13,0.12,0.13
2014-03-31,0.12,0.13,0.12,0.13
2014-04-01,0.12,0.13,0.12,0.13
2014-04-02,0.12,0.12,0.12,0.12
2014-04-03,0.12,0.12,0.12,0.12
2014-04-04,0.12,0.12,0.12,0.12
2014-04-07,0.12,0.12,0.12,0.12
2014-04-10,0.12,0.12,0.12,0.12
2014-04-11,0.12,0.12,0.12,0.12
2014-04-16,0.11,0.11,0.11,0.11
2014-04-17,0.11,0.11,0.11,0.11
2014-04-22,0.11,0.11,0.11,0.11
2014-04-23,0.12,0.12,0.11,0.11
2014-04-24,0.11,0.11,0.11,0.11
2014-04-25,0.11,0.11,0.11,0.11
2014-04-28,0.1,0.1,0.1,0.1
2014-04-30,0.09,0.09,0.09,0.09
2014-05-05,0.09,0.09,0.09,0.09
2014-05-08,0.09,0.09,0.09,0.09
2014-05-09,0.09,0.09,0.09,0.09
2014-05-12,0.09,0.09,0.09,0.09
2014-05-13,0.09,0.09,0.09,0.09
2014-05-14,0.09,0.09,0.09,0.09
2014-05-15,0.09,0.09,0.08,0.08
2014-05-16,0.09,0.09,0.08,0.08
2014-05-19,0.09,0.09,0.09,0.09
2014-05-20,0.08,0.08,0.08,0.08
2014-05-21,0.08,0.08,0.06,0.06
2014-05-22,0.06,0.06,0.06,0.06
2014-05-23,0.06,0.06,0.06,0.06
2014-05-26,0.06,0.06,0.06,0.06
2014-05-27,0.06,0.06,0.06,0.06
2014-05-28,0.06,0.06,0.06,0.06
2014-05-29,0.06,0.06,0.05,0.05
2014-05-30,0.06,0.06,0.06,0.06
2014-06-02,0.06,0.06,0.06,0.06
2014-06-03,0.05,0.06,0.05,0.06
2014-06-05,0.06,0.06,0.06,0.06
2014-06-06,0.06,0.06,0.06,0.06
2014-06-09,0.06,0.06,0.06,0.06
2014-06-10,0.06,0.06,0.06,0.06
2014-06-12,0.05,0.05,0.05,0.05
2014-06-13,0.06,0.06,0.06,0.06
2014-06-16,0.06,0.06,0.06,0.06
2014-06-17,0.05,0.06,0.05,0.06
2014-06-18,0.06,0.06,0.06,0.06
2014-06-20,0.06,0.06,0.05,0.05
2014-06-23,0.05,0.05,0.05,0.05
2014-06-24,0.05,0.05,0.05,0.05
2014-06-25,0.06,0.06,0.05,0.05
2014-06-26,0.05,0.06,0.05,0.06
2014-06-27,0.06,0.06,0.06,0.06
2014-07-01,0.06,0.06,0.06,0.06
2014-07-02,0.06,0.06,0.06,0.06
2014-07-03,0.05,0.05,0.05,0.05
2014-07-07,0.05,0.05,0.05,0.05
2014-07-08,0.05,0.05,0.05,0.05
2014-07-09,0.06,0.06,0.06,0.06
2014-07-10,0.06,0.06,0.06,0.06
2014-07-11,0.06,0.06,0.06,0.06
2014-07-14,0.06,0.06,0.06,0.06
2014-07-15,0.05,0.06,0.05,0.06
2014-07-16,0.05,0.05,0.05,0.05
2014-07-17,0.07,0.07,0.07,0.07
2014-07-18,0.06,0.06,0.06,0.06
2014-07-21,0.05,0.05,0.05,0.05
2014-07-23,0.06,0.06,0.06,0.06
2014-07-24,0.06,0.06,0.06,0.06
2014-07-28,0.06,0.06,0.06,0.06
2014-07-29,0.07,0.07,0.07,0.07
2014-07-30,0.07,0.07,0.07,0.07
2014-08-01,0.07,0.07,0.07,0.07
2014-08-04,0.06,0.06,0.06,0.06
2014-08-05,0.06,0.06,0.06,0.06
2014-08-06,0.06,0.06,0.06,0.06
2014-08-11,0.06,0.07,0.06,0.07
2014-08-12,0.06,0.06,0.06,0.06
2014-08-13,0.06,0.06,0.06,0.06
2014-08-14,0.07,0.07,0.07,0.07
2014-08-19,0.06,0.06,0.06,0.06
2014-08-20,0.06,0.06,0.06,0.06
2014-08-22,0.06,0.06,0.06,0.06
2014-08-25,0.06,0.06,0.06,0.06
2014-08-26,0.06,0.06,0.06,0.06
2014-08-27,0.06,0.06,0.06,0.06
2014-08-29,0.07,0.07,0.07,0.07
2014-09-01,0.07,0.07,0.07,0.07
2014-09-02,0.06,0.06,0.06,0.06
2014-09-04,0.06,0.07,0.06,0.07
2014-09-05,0.06,0.06,0.06,0.06
2014-09-08,0.06,0.06,0.06,0.06
2014-09-10,0.06,0.06,0.06,0.06
2014-09-11,0.06,0.06,0.06,0.06
2014-09-12,0.06,0.06,0.06,0.06
2014-09-15,0.06,0.06,0.06,0.06
2014-09-16,0.06,0.06,0.06,0.06
2014-09-18,0.06,0.06,0.06,0.06
2014-09-19,0.08,0.08,0.08,0.08
2014-09-22,0.08,0.09,0.08,0.09
2014-09-23,0.08,0.08,0.08,0.08
2014-09-24,0.08,0.08,0.08,0.08
2014-09-25,0.08,0.08,0.08,0.08
2014-09-26,0.08,0.08,0.08,0.08
2014-09-29,0.08,0.08,0.08,0.08
2014-09-30,0.09,0.09,0.09,0.09
2014-10-01,0.08,0.08,0.08,0.08
2014-10-02,0.08,0.08,0.08,0.08
2014-10-03,0.09,0.09,0.09,0.09
2014-10-06,0.09,0.09,0.09,0.09
2014-10-07,0.09,0.09,0.09,0.09
2014-10-08,0.08,0.08,0.08,0.08
2014-10-09,0.08,0.08,0.08,0.08
2014-10-10,0.09,0.09,0.09,0.09
2014-10-13,0.08,0.08,0.08,0.08
2014-10-14,0.07,0.07,0.06,0.06
2014-10-15,0.06,0.06,0.06,0.06
2014-10-16,0.06,0.06,0.06,0.06
2014-10-17,0.06,0.06,0.06,0.06
2014-10-20,0.07,0.07,0.07,0.07
2014-10-21,0.07,0.07,0.07,0.07
2014-10-22,0.07,0.07,0.07,0.07
2014-10-23,0.07,0.07,0.07,0.07
2014-10-27,0.07,0.07,0.07,0.07
2014-10-28,0.07,0.07,0.07,0.07
2014-10-29,0.06,0.06,0.06,0.06
2014-10-30,0.06,0.07,0.06,0.07
2014-10-31,0.07,0.07,0.07,0.07
2014-11-03,0.07,0.07,0.07,0.07
2014-11-04,0.07,0.07,0.07,0.07
2014-11-07,0.07,0.07,0.06,0.06
2014-11-10,0.06,0.06,0.06,0.06
2014-11-12,0.06,0.07,0.06,0.07
2014-11-13,0.07,0.07,0.06,0.06
2014-11-14,0.06,0.06,0.06,0.06
2014-11-17,0.06,0.06,0.06,0.06
2014-11-18,0.06,0.06,0.06,0.06
2014-11-19,0.06,0.06,0.06,0.06
2014-11-24,0.07,0.07,0.07,0.07
2014-11-25,0.07,0.07,0.07,0.07
2014-11-26,0.07,0.07,0.07,0.07
2014-11-27,0.06,0.07,0.06,0.07
2014-11-28,0.07,0.07,0.07,0.07
2014-12-01,0.07,0.07,0.07,0.07
2014-12-02,0.07,0.07,0.07,0.07
2014-12-03,0.07,0.07,0.06,0.06
2014-12-04,0.06,0.06,0.06,0.06
2014-12-05,0.06,0.06,0.06,0.06
2014-12-08,0.06,0.06,0.06,0.06
2014-12-09,0.06,0.06,0.06,0.06
